State,Transaction_amount
Andaman & Nicobar,6463184.554711691
Andhra Pradesh,4823943.542263939
Arunachal Pradesh,535578755.0794512
Assam,18273814.16270872
Bihar,1496816541.9710202
Chandigarh,667057311.4560372
Chhattisgarh,157311821.37585658
Dadra and Nagar Haveli and Daman and Diu,124377517.3349145
Delhi,878929080.9916563
Goa,2283567431.223535
Gujarat,6028476.149090356
Haryana,9704752.648983236
Himachal Pradesh,646028338.3951533
Jammu & Kashmir,17526369.5804541
Jharkhand,78812610.35129012
Karnataka,1201827543.8816488
Kerala,831912767.5937189
Ladakh,964309485.9592384
Lakshadweep,5184132.514934338
Madhya Pradesh,375559206.7727593
Maharashtra,868358581.1737025
Manipur,1845307.467365509
Meghalaya,206518662.81014803
Mizoram,196018621.35851485
Nagaland,1320559612.770412
Odisha,14079439.569905948
Puducherry,93491181.1405638
Punjab,2199565.258913744
Rajasthan,892293975.6698562
Sikkim,61432.04938505074
Tamil Nadu,49871175.82607427
Telangana,331254466.1508661
Tripura,5361675.549623315
Uttar Pradesh,47479581.16264416
Uttarakhand,927250.7143707818
West Bengal,132181815.28422524
